Id,Prediction
0,	9.027104611985448912e+01
1,	8.839439483769415062e+01
2,	8.980071559730389197e+01
3,	8.466159318662280953e+01
4,	9.343999753919618456e+01
5,	8.657535510106558263e+01
6,	9.163539179811793645e+01
7,	9.006345961778701792e+01
8,	8.629431873680597676e+01
9,	8.736004863878434890e+01
10,	8.805239493297666797e+01
11,	8.847612393593470870e+01
12,	9.134790645931147424e+01
13,	9.059244819021751027e+01
14,	9.168893458879044545e+01
15,	8.099454027428129166e+01
16,	8.767900297272777266e+01
17,	8.648839901359400528e+01
18,	8.875686723911474019e+01
19,	8.091390185284035397e+01
20,	8.661715883425223694e+01
21,	8.829934738363593283e+01
22,	9.069719685292626821e+01
23,	8.417106850036805099e+01
24,	9.115483530989088479e+01
25,	8.549503011023634258e+01
26,	8.798703513288864997e+01
27,	9.354467657561653482e+01
28,	9.075148572086769150e+01
29,	9.096334078397894984e+01
30,	8.730060787528249477e+01
31,	8.052819456772088813e+01
32,	9.360215699799876177e+01
33,	8.499084567132608470e+01
34,	8.893226472463999244e+01
35,	8.888769965560466346e+01
36,	8.758304882783812673e+01
37,	8.897968213346335631e+01
38,	8.926622262465599533e+01
39,	8.732618168181093665e+01
40,	8.871556432919024360e+01
41,	8.769847381467481284e+01
42,	8.887443082981670273e+01
43,	9.203792065769702901e+01
44,	8.416311686635691558e+01
45,	9.052616908241294880e+01
46,	8.593382648470105778e+01
47,	8.314435152371173388e+01
48,	8.802542694410360014e+01
49,	8.606482283546026224e+01
50,	9.130218445702641361e+01
51,	8.876801105410672221e+01
52,	8.936249432839615281e+01
53,	9.132933140055051524e+01
54,	8.710260897841072847e+01
55,	8.744037637458909273e+01
56,	9.173258046856842896e+01
57,	8.574666444278446420e+01
58,	8.854823053274937195e+01
59,	8.778417299472481261e+01
60,	8.858474837680923031e+01
61,	8.917105275717732127e+01
62,	8.886899342134240953e+01
63,	8.755064965474288385e+01
64,	8.953573313675678946e+01
65,	9.143833154418952347e+01
66,	8.696286534334217322e+01
67,	9.017970141875881041e+01
68,	8.514159120568541539e+01
69,	8.809641668943291393e+01
70,	9.078080863997509198e+01
71,	8.493248430000427618e+01
72,	9.033963140957784788e+01
73,	8.850032988257986233e+01
74,	8.868924146782589446e+01
75,	8.771985363543480219e+01
76,	8.678307010412021327e+01
77,	9.222096980805693534e+01
78,	8.744059957986226550e+01
79,	8.904292969394742840e+01
80,	8.809363447157605265e+01
81,	8.787605282937964546e+01
82,	8.996120308225182782e+01
83,	8.452240419126870563e+01
84,	9.177382638987727148e+01
85,	8.510257303276273433e+01
86,	9.269802520574445737e+01
87,	8.710648255458397671e+01
88,	8.874635451509786321e+01
89,	8.888921478305076107e+01
90,	8.708445274492568444e+01
91,	8.611748330779549576e+01
92,	9.025327195752176124e+01
93,	8.810366022378212847e+01
94,	8.606587373837321309e+01
95,	8.785108739807330380e+01
96,	8.838525719147256154e+01
97,	9.081016536607661749e+01
98,	8.970986680629803800e+01
99,	9.207550686324195510e+01
100,	8.593870040733663984e+01
101,	8.917112795105947498e+01
102,	9.075482209504531284e+01
103,	8.974844812692350615e+01
104,	8.531829992457053891e+01
105,	8.790981599371738753e+01
106,	8.880737072452504322e+01
107,	8.884460538445554789e+01
108,	9.121947715376026622e+01
109,	8.860096335005388823e+01
110,	8.946719013237762397e+01
111,	8.476327259538086878e+01
112,	9.483100058940598842e+01
113,	8.907646162099661069e+01
114,	8.823815533819889367e+01
115,	8.916172554473931200e+01
116,	8.813947291148868146e+01
117,	8.944593496974212599e+01
118,	8.732428976447332047e+01
119,	8.793000175878071900e+01
120,	8.555851974312743380e+01
121,	8.544438913684122383e+01
122,	9.001089272354059290e+01
123,	8.633883408813655080e+01
124,	9.225140424238020387e+01
125,	8.741914338856601319e+01
126,	8.607192341650045364e+01
127,	8.729663230943201313e+01
128,	8.590730191319389064e+01
129,	8.552064472672535089e+01
130,	9.155850826030537348e+01
131,	8.975899479980840567e+01
132,	8.911924915720132390e+01
133,	8.803230607555180143e+01
134,	8.922453363853806252e+01
135,	8.495509175202494134e+01
136,	8.469024809569826573e+01
137,	9.225434713843895906e+01
138,	8.925372230605002244e+01
139,	8.807409109408230563e+01
140,	8.975222277072444399e+01
141,	9.160410980370075151e+01
142,	8.745392686902341950e+01
143,	9.104415270836082641e+01
144,	9.391957146094429731e+01
145,	8.738689778922436346e+01
146,	9.229558368824018544e+01
147,	8.854218416982787687e+01
148,	8.859126342429593137e+01
149,	9.120867548789578905e+01
150,	8.227007216468904005e+01
151,	8.592988852831166469e+01
152,	9.123074084447246435e+01
153,	9.117888885635110796e+01
154,	8.999077969810061006e+01
155,	8.849711910866712117e+01
156,	8.581667529983479881e+01
157,	8.746052655945557319e+01
158,	9.042468912084443389e+01
159,	8.577718332407759760e+01
160,	8.772273173640228094e+01
161,	8.376395938462734136e+01
162,	8.804852116967349218e+01
163,	9.161362620374778487e+01
164,	8.988432667513697538e+01
165,	9.002030138159373962e+01
166,	9.400687479586802908e+01
167,	9.339837969208895174e+01
168,	8.716884643089042584e+01
169,	8.527548107292757607e+01
170,	8.361263634706436676e+01
171,	9.103130796746576436e+01
172,	8.851043002143650540e+01
173,	8.990738820914948803e+01
174,	8.909277093654418422e+01
175,	8.561997811934156744e+01
176,	8.263137525050569820e+01
177,	8.892936235902261899e+01
178,	8.832932795007420168e+01
179,	9.068876910227284327e+01
180,	8.572132995334163752e+01
181,	9.205774546186732721e+01
182,	8.533529468937192064e+01
183,	8.440078655925867679e+01
184,	8.957909517739491889e+01
185,	8.488531126821509076e+01
186,	8.370115607155535997e+01
187,	8.520848047555328719e+01
188,	8.540495340462354079e+01
189,	8.618207374011342381e+01
190,	8.655022590567268992e+01
191,	9.105688170721347774e+01
192,	9.008850859044594017e+01
193,	8.671273070038493813e+01
194,	8.629195970953360018e+01
195,	9.381743738047052261e+01
196,	9.069909881584898415e+01
197,	8.337785510466279959e+01
198,	9.262399333392920653e+01
199,	9.140875301120169638e+01
200,	8.787719822106572565e+01
201,	8.718565228848981974e+01
202,	8.882573690807163302e+01
203,	8.970572214212239714e+01
204,	8.840681208264879842e+01
205,	8.321746979847262082e+01
206,	9.143424961804285545e+01
207,	8.830126790582659169e+01
208,	8.614748278824539796e+01
